Mode number      Frequency [cm^(-1)]   Zero point energy [eV]   IR-intensity [D^2/A^2*amu]     Raman-intensity [Ang^4/amu]
          1              -0.01669009              -0.00000103          397272.44972641               0.00000000
          2              -0.00791192              -0.00000049            4314.27859370               0.00000000
          3              -0.00572696              -0.00000036           54936.34352231               0.00000002
          4              47.17902002               0.00292473           25063.35331330               0.00000006
          5              47.19538478               0.00292574           15104.56571727               0.00000003
          6              59.01995784               0.00365877               0.00072519               3.32585155
          7              59.03375496               0.00365963               0.00030626               3.32586241
          8              84.43250553               0.00523415           61023.85128216               0.00000000
          9              84.45119051               0.00523531           56487.45249943               0.00000000
         10             118.93911533               0.00737329               0.05988736               5.01166392
         11             120.03010313               0.00744092          162363.33649322               0.00000187
         12             120.03266891               0.00744108           60659.51590784               0.00000010
         13             126.99893897               0.00787293               0.00051662               0.06381308
         14             126.99960611               0.00787297               0.00046041               0.06380691
         15             132.45649238               0.00821126          286811.62804450               0.00000002
         16             144.22185179               0.00894062          417205.04795875               0.00000000
         17             167.89568081               0.01040821         1253300.98534728               0.00000000
         18             276.46349879               0.01713855          273005.59366296               0.00000000
         19             322.74183933               0.02000744               0.00184115             811.13779666
         20             383.11394144               0.02375004         1442950.53606267               0.00000000
         21             383.11425648               0.02375006         1041371.97628050               0.00000000
