Mode number      Frequency [cm^(-1)]   Zero point energy [eV]   IR-intensity [D^2/A^2*amu]     Raman-intensity [Ang^4/amu]
          1             -41.36336397              -0.00256420         2966722.62596928             124.24599597
          2             -41.35881353              -0.00256392          179234.08148263             124.24671364
          3             -23.81613095              -0.00147641           72449.69301045               0.00008798
          4             -23.80990855              -0.00147603          308331.68439222               0.00008412
          5              -0.10294475              -0.00000638         5217910.12381266               0.00001765
          6              -0.07709140              -0.00000478           95407.45783204               0.00001776
          7              -0.01465860              -0.00000091        62935868.69047757               0.00007297
          8              11.82138117               0.00073283         3592673.07047680               7.52176281
          9              11.83296633               0.00073355          193280.90236387               7.52041957
         10              18.56934224               0.00115115         8445504.59803272               0.00021142
         11              18.58310035               0.00115201         1519697.49618828               0.00007530
         12              27.70986666               0.00171779         7257973.77902788               0.00001303
         13              32.38664784               0.00200772          126712.31163043               0.00005116
         14              32.49464234               0.00201441          698479.80948650               0.00006050
         15              53.21145584               0.00329869           10285.28656629               2.14946025
         16              53.22834789               0.00329974            1983.12388621               2.15138450
         17              57.14615422               0.00354261         4278041.66265701             626.53903918
         18              85.64016739               0.00530901        53497541.70261751               0.00000066
         19              90.74510023               0.00562548         8123500.46429835               0.00003572
         20              96.61647427               0.00598946          275202.22430711             616.51572369
         21             101.09727722               0.00626723           38958.03456050             107.53950299
         22             119.41649396               0.00740288          287671.44981453               0.00008645
         23             159.21084327               0.00986981          373964.07909669               0.00000147
         24             162.29684029               0.01006112             650.06838229              44.28332591
         25             169.57206146               0.01051213             632.39289717              10.25198884
         26             169.57241460               0.01051215              24.57276435              10.25180090
         27             170.22498442               0.01055260        19534165.45590279               0.00014735
         28             170.22575930               0.01055265         8200047.07819956               0.00003574
         29             170.68206260               0.01058094          245017.80440714               0.00039627
         30             170.68709037               0.01058125         5004624.47749531               0.00003051
         31             237.98486046               0.01475318         1588906.01803518               0.00004876
         32             241.91655920               0.01499692         5873888.74584869           23991.51681331
         33             355.55552802               0.02204163         2441217.38579054            3575.36086400
         34             355.55684334               0.02204171         4427910.74089930            3575.35837553
         35             356.17770095               0.02208020        75746733.15251771               0.00008089
         36             356.17847374               0.02208025        28921818.06130653               0.00030966
