Mode number      Frequency [cm^(-1)]   Zero point energy [eV]   IR-intensity [D^2/A^2*amu]     Raman-intensity [Ang^4/amu]
          1              -0.00821478              -0.00000051               0.00000002               0.00000002
          2              -0.00554009              -0.00000034               0.00000000               0.00000000
          3              -0.00344135              -0.00000021               0.00000000               0.00000000
          4              67.51922939               0.00418566               0.00000005               4.98374216
          5              84.33639788               0.00522819               0.00000393               2.81354990
          6              85.54347251               0.00530302               1.85707514               0.00000493
          7             106.77234434               0.00661904               1.37862678               0.00000011
          8             137.27539508               0.00850999               0.00000006               3.84644004
          9             157.74002901               0.00977864               8.12342365               0.00001304
         10             168.60276402               0.01045204               0.00000135             220.88792925
         11             168.62703924               0.01045354               0.00000089             240.43314641
         12             171.14549071               0.01060967               6.88396925               0.00002615
         13             171.39226192               0.01062497               5.10515846               0.00010475
         14             181.38286071               0.01124430               0.00000020             129.87692139
         15             186.72629309               0.01157555               0.74981161               0.00004538
         16             190.42555811               0.01180488               0.00000025            1118.28843743
         17             453.47407879               0.02811181               0.00000000            9388.20735071
         18             455.37085713               0.02822939               0.00000000           20593.40702343
