Mode number      Frequency [cm^(-1)]   Zero point energy [eV]   IR-intensity [D^2/A^2*amu]     Raman-intensity [Ang^4/amu]
          1              -0.03074179              -0.00000191           17391.04631045               0.00000533
          2              -0.02963424              -0.00000184            2994.18069175               0.00009094
          3              -0.02763586              -0.00000171           18224.29513391               0.00000043
          4              82.05091098               0.00508651               0.01924020               1.18382138
          5              83.54691793               0.00517925           25779.08271228               5.96272273
          6              83.54857297               0.00517935           25782.50342303               5.96337875
          7             104.73839351               0.00649295           20561.29341366               0.05331860
          8             104.74123433               0.00649313           20557.54685112               0.05301800
          9             107.92720841               0.00669063               0.00979494              69.56395316
         10             130.05516424               0.00806239              13.27073739               4.81855117
         11             157.56288143               0.00976765            3798.71046617              23.87563752
         12             157.56362916               0.00976770            3798.35157756              23.87672111
         13             169.82546633               0.01052784            3088.75164106               1.04361775
         14             169.82751081               0.01052796            3090.15101653               1.04236481
         15             197.75744677               0.01225940               0.02090018             146.52192987
         16             208.29361544               0.01291256            4648.77544478               3.36131176
         17             208.29495753               0.01291264            4648.11583557               3.36104877
         18             218.28214044               0.01353177               0.09218568               0.00000083
         19             221.72458112               0.01374517               0.20190581             542.17696968
         20             224.15037620               0.01389555               0.17845891             196.82690548
         21             448.90214020               0.02782839               0.39266373            1370.01807235
         22             453.41735455               0.02810829               0.16316415            2361.84271250
         23             470.64788765               0.02917645            2259.35172268             113.31901428
         24             470.64835269               0.02917648            2259.36144974             113.31905241
