Mode number      Frequency [cm^(-1)]   Zero point energy [eV]   IR-intensity [D^2/A^2*amu]     Raman-intensity [Ang^4/amu] 
          1              -0.08135362              -0.00000504           19890.72180063               0.00000016
          2              -0.00970453              -0.00000060           21288.05322414               0.00000005
          3              -0.00831818              -0.00000052           20301.66904611               0.00000001
          4              48.12769853               0.00298354            4748.02771878               0.00000122
          5              51.31421099               0.00318108               0.00053563               0.00000751
          6              58.84897315               0.00364817               0.00930116              59.37537345
          7              61.28823694               0.00379939               0.00847347               0.00000412
          8              61.85064576               0.00383425            1174.01526075               0.00000212
          9              65.40672757               0.00405470           11022.43027793               0.00127855
         10              65.64576590               0.00406952               0.18405761             100.99803014
         11              67.23815297               0.00416823            1034.07668155               0.00000084
         12              69.01833279               0.00427859               0.00008022               0.00000919
         13              75.69723096               0.00469263           11079.98305691               0.00000213
         14              77.82825589               0.00482474               0.03182870              47.44922133
         15              78.68513144               0.00487786               0.00052509               0.18466144
         16              82.07971089               0.00508829            6537.48167665               0.00000324
         17              82.67046758               0.00512492               0.00995237              36.51385003
         18              85.08136299               0.00527437               0.00044336               4.70814151
         19              93.04188423               0.00576786               0.03794942              70.64585328
         20              98.03355010               0.00607731               0.07001766             363.50047120
         21             111.55857028               0.00691575               0.00547708               6.14543999
         22             114.12810109               0.00707504               0.00013982               0.00000131
         23             115.53551809               0.00716229             190.84645492               0.00000099
         24             117.13359429               0.00726136            1027.98729167               0.00000165
         25             119.72018624               0.00742171             651.84212001               0.00000012
         26             130.88194813               0.00811365             123.98052228               0.00000032
         27             134.58434118               0.00834317             526.80075415               0.00000007
         28             136.90752032               0.00848718              51.76240147               0.00001059
         29             141.86404066               0.00879445               0.59464177            1571.69541254
         30             146.05775584               0.00905443               0.00000514               0.00001041
         31             156.74390341               0.00971688             865.35857882               0.00000015
         32             159.55185799               0.00989095            4567.97084259               0.00000016
         33             162.73889611               0.01008853               0.00000378               0.40559538
         34             168.62105721               0.01045317               0.08068299             398.17827689
         35             171.73313837               0.01064610               0.19591786               2.01772620
         36             174.54791571               0.01082059            2978.64578996               0.00000001
         37             175.71626296               0.01089302               0.51205290               1.85091010
         38             177.35857779               0.01099483             148.76739524               0.00000001
         39             206.82185210               0.01282132               0.03307219             130.68126567
         40             208.31884539               0.01291412               0.00000505             103.84785137
         41             212.82693474               0.01319359               0.15150285            1499.54868066
         42             220.54064168               0.01367178               0.00807461             998.32070709
         43             221.78496752               0.01374892             611.85610684               0.00001163
         44             223.49444896               0.01385489               0.00000635               0.00000012
         45             228.21598535               0.01414759           11433.11438840               0.00000017
         46             229.00959664               0.01419679            2486.01582418               0.00000013
         47             229.29946344               0.01421475           12902.15036370               0.00000016
         48             250.35464431               0.01552001           12182.89538708               0.00000005
         49             293.85003383               0.01821638              53.70071430               0.00000001
         50             296.43243208               0.01837647               0.01951370               0.70136783
         51             296.79991404               0.01839925               0.00003565               0.01300795
         52             297.13674237               0.01842013            1110.42974664               0.00000000
         53             298.00509674               0.01847396               0.00000491               0.00000000
         54             301.88220722               0.01871431               0.00000204               0.00000008
         55             302.70614236               0.01876539            1080.08293440               0.00000008
         56             307.62869726               0.01907055            1317.82542214               0.00000039
         57             310.00799396               0.01921805               0.03129349             816.42879943
         58             396.81256975               0.02459924               0.07059916              64.42398156
         59             409.29453520               0.02537303               0.03800808               6.52006455
         60             428.27075307               0.02654940               0.00000002               0.29566581
