Mode number      Frequency [cm^(-1)]   Zero point energy [eV]   IR-intensity [D^2/A^2*amu]     Raman-intensity [Ang^4/amu]
          1              -0.00864783              -0.00000054            1802.01937009               0.00000000
          2              -0.00176478              -0.00000011            1802.07230075               0.00000000
          3              -0.00166643              -0.00000010            1802.07808209               0.00000000
          4              73.39396909               0.00454985               0.00000019               6.91651484
          5              78.93223877               0.00489318               1.22145053               0.00000001
          6              92.22155257               0.00571701               0.00000018               5.67528873
          7             109.98735300               0.00681835               0.00000014               4.49432920
          8             134.14027933               0.00831564               0.00031491               0.00000000
          9             138.83004595               0.00860637               0.00000000             184.77967152
         10             145.56081418               0.00902362               0.00000000             703.63315967
         11             212.94339897               0.01320081               0.00000000             894.71833991
         12             215.31651822               0.01334792               0.00512566               0.00000001
         13             242.00505275               0.01500240               1.55776831               0.00000085
         14             243.23061288               0.01507838               0.17705230               0.00025098
         15             243.54310586               0.01509775               0.00000014             261.69336681
         16             274.51484483               0.01701775               2.47445765               0.00000340
         17             274.66413146               0.01702701               0.00000010              87.35383337
         18             277.99279748               0.01723336               0.00000000            1906.57968535
         19             312.53954251               0.01937498               1.13134297               0.00000120
         20             318.19451901               0.01972555               0.00000000            3761.96200167
         21             331.28484771               0.02053704               0.00000000             162.92660011
         22             349.38615934               0.02165918               4.78448659               0.00000001
         23             523.67096168               0.03246346               2.65269976               0.00000004
         24             526.89967657               0.03266362               0.00000000           12473.71280096
