Mode number      Frequency [cm^(-1)]   Zero point energy [eV]   IR-intensity [D^2/A^2*amu]     Raman-intensity [Ang^4/amu]
          1              -0.01009547              -0.00000063            1117.24018039               0.00022754
          2              -0.00435010              -0.00000027            1052.20959269               0.00019462
          3              -0.00268509              -0.00000017            1052.56398201               0.00006078
          4              22.88782787               0.00141886            3610.94211536            5752.92783547
          5              22.89955984               0.00141959            3610.67505810            5752.94269744
          6             141.61280531               0.00877887               0.00000010          155571.10598829
          7             229.12954470               0.01420422           48711.34076263               0.00000093
          8             249.93238869               0.01549383               0.00000010          448464.63456767
          9             312.09362688               0.01934734            1665.14368764             317.47511461
         10             312.09488171               0.01934742            1665.15385427             317.45998187
         11             334.57045750               0.02074072             511.39218079               0.00000007
         12             334.57281096               0.02074087             511.41625405               0.00000003
